"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
3,"random","48b9jmgp",10,"p17","reordered_keywords_2","fairy",0,12,"fairy"
3,"random","48b9jmgp",10,"p17","reordered_keywords_3","scythe",0,12,"scythe"
3,"random","48b9jmgp",10,"p17","reordered_keywords_4","worms",0,12,"worm"
3,"random","48b9jmgp",10,"p17","reordered_keywords_5","hourglass",0,12,"hourglass"
3,"ws","9caxmijh",6,"p18","reordered_keywords_1","blade",0,12,"blade"
3,"ws","9caxmijh",6,"p18","reordered_keywords_2","angel",1,12,"angel"
3,"ws","9caxmijh",6,"p18","reordered_keywords_3","blade",0,12,"blade"
3,"ws","9caxmijh",6,"p18","reordered_keywords_4","antennae",1,12,"antenna"
3,"ws","9caxmijh",6,"p18","reordered_keywords_5","apron",1,12,"apron"
3,"ws","9caxmijh",10,"p18","reordered_keywords_1","bird",0,12,"bird"
3,"ws","9caxmijh",10,"p18","reordered_keywords_2","angel",1,12,"angel"
3,"ws","9caxmijh",10,"p18","reordered_keywords_3","scythe",0,12,"scythe"
3,"ws","9caxmijh",10,"p18","reordered_keywords_4","splash",0,12,"splash"
3,"ws","9caxmijh",10,"p18","reordered_keywords_5","hourglass",0,12,"hourglass"
3,"ws","hg739rpo",6,"p19","reordered_keywords_1","shield",1,12,"shield"
3,"ws","hg739rpo",6,"p19","reordered_keywords_2","angel",1,12,"angel"
3,"ws","hg739rpo",6,"p19","reordered_keywords_3","flag",1,12,"flag"
3,"ws","hg739rpo",6,"p19","reordered_keywords_4","attennae",0,12,"attennae"
3,"ws","hg739rpo",6,"p19","reordered_keywords_5","apron",1,12,"apron"
3,"ws","hg739rpo",10,"p19","reordered_keywords_1","shield",1,12,"shield"
3,"ws","hg739rpo",10,"p19","reordered_keywords_2","horse",0,12,"horse"
3,"ws","hg739rpo",10,"p19","reordered_keywords_3","flag",1,12,"flag"
3,"ws","hg739rpo",10,"p19","reordered_keywords_4","antennae",1,12,"antenna"
3,"ws","hg739rpo",10,"p19","reordered_keywords_5","apron",1,12,"apron"
1,"ws","9caxmijh",3,"p2","reordered_keywords_1","shield",1,12,"shield"
1,"ws","9caxmijh",3,"p2","reordered_keywords_2","angel",1,12,"angel"
1,"ws","9caxmijh",3,"p2","reordered_keywords_3","flag",1,12,"flag"
1,"ws","9caxmijh",3,"p2","reordered_keywords_4","antennae",1,12,"antenna"
1,"ws","9caxmijh",3,"p2","reordered_keywords_5","apron",1,12,"apron"
1,"ws","9caxmijh",5,"p2","reordered_keywords_1","shield",1,12,"shield"
1,"ws","9caxmijh",5,"p2","reordered_keywords_2","angel",1,12,"angel"
1,"ws","9caxmijh",5,"p2","reordered_keywords_3","flag",1,12,"flag"
1,"ws","9caxmijh",5,"p2","reordered_keywords_4","antennae",1,12,"antenna"
1,"ws","9caxmijh",5,"p2","reordered_keywords_5","apron",1,12,"apron"
1,"ws","9caxmijh",10,"p2","reordered_keywords_1","shield",1,12,"shield"
1,"ws","9caxmijh",10,"p2","reordered_keywords_2","angel",1,12,"angel"
1,"ws","9caxmijh",10,"p2","reordered_keywords_3","flag",1,12,"flag"
1,"ws","9caxmijh",10,"p2","reordered_keywords_4","antennae",1,12,"antenna"
1,"ws","9caxmijh",10,"p2","reordered_keywords_5","apron",1,12,"apron"
3,"ws","j8urhz5m",6,"p20","reordered_keywords_2","angel",1,12,"angel"
3,"ws","j8urhz5m",6,"p20","reordered_keywords_3","boomerang",0,12,"boomerang"
3,"ws","j8urhz5m",6,"p20","reordered_keywords_4","snail",0,12,"snail"
3,"ws","j8urhz5m",6,"p20","reordered_keywords_5","hourglass",0,12,"hourglass"
3,"ws","j8urhz5m",10,"p20","reordered_keywords_1","bat",0,12,"bat"
3,"ws","j8urhz5m",10,"p20","reordered_keywords_2","angel",1,12,"angel"
3,"ws","j8urhz5m",10,"p20","reordered_keywords_3","knife",0,12,"knife"
3,"ws","j8urhz5m",10,"p20","reordered_keywords_4","snail",0,12,"snail"
3,"ws","j8urhz5m",10,"p20","reordered_keywords_5","hourglass",0,12,"hourglass"
